Date,Pond,Species,Number of exuviae,collection duration,emergence rate,,,,,,,,,,,,,
5/12/17,Elephant,A. canadensis,,,ND,,,,,,,,,,,,,
5/12/17,Fishless,A. canadensis,,,ND,,,,,,,,,,,,,
5/12/17,Railtracks,A. canadensis,,,ND,,,,,,,,,,,,,
5/15/17,Elephant,A. canadensis,,,ND,,,,,,,,,,,,,
5/15/17,Fishless,A. canadensis,,,ND,,,,,,,,,,,,,
5/15/17,Railtracks,A. canadensis,,,ND,,,,,,,,,,,,,
5/17/17,Elephant,A. canadensis,,,ND,,,,,,,,,,,,,
5/17/17,Fishless,A. canadensis,,,ND,,,,,,,,,,,,,
5/17/17,Railtracks,A. canadensis,,,ND,,,,,,,,,,,,,
5/18/17,Elephant,A. canadensis,,,ND,,,,,,,,,,,,,
5/18/17,Fishless,A. canadensis,,,ND,,,,,,,,,,,,,
5/18/17,Railtracks,A. canadensis,,,ND,,,,,,,,,,,,,
5/19/17,Elephant,A. canadensis,,,ND,,,,,,,,,,,,,
5/19/17,Fishless,A. canadensis,,,ND,,,,,,,,,,,,,
5/19/17,Railtracks,A. canadensis,,,ND,,,,,,,,,,,,,
5/22/17,Elephant,A. canadensis,,,0.133333333,,,,,,,,,,,,,
5/22/17,Fishless,A. canadensis,,,0.133333333,,,,,,,,,,,,,
5/22/17,Railtracks,A. canadensis,,,0.133333333,,,,,,,,,,,,,
5/24/17,Elephant,A. canadensis,,,0.266666667,,,,,,,,,,,,,
5/24/17,Fishless,A. canadensis,,,0.266666667,,,,,,,,,,,,,
5/24/17,Railtracks,A. canadensis,,,0.266666667,,,,,,,,,,,,,
5/26/17,Elephant,A. canadensis,,,0.114285714,,,,,,,,,,,,,
5/26/17,Fishless,A. canadensis,,,0.114285714,,,,,,,,,,,,,
5/26/17,Railtracks,A. canadensis,,,0.114285714,,,,,,,,,,,,,
5/29/17,Elephant,A. canadensis,,,0.383333333,,,,,,,,,,,,,
5/29/17,Fishless,A. canadensis,,,0.383333333,,,,,,,,,,,,,
5/29/17,Railtracks,A. canadensis,,,0.383333333,,,,,,,,,,,,,
5/31/17,Elephant,A. canadensis,,,0.15,,,,,,,,,,,,,
5/31/17,Fishless,A. canadensis,,,0.15,,,,,,,,,,,,,
5/31/17,Railtracks,A. canadensis,,,0.15,,,,,,,,,,,,,
6/2/17,Elephant,A. canadensis,,,0.111111111,,,,,,,,,,,,,
6/2/17,Fishless,A. canadensis,,,0.111111111,,,,,,,,,,,,,
6/2/17,Railtracks,A. canadensis,,,0.111111111,,,,,,,,,,,,,
6/5/17,Elephant,A. canadensis,,,0.144444444,,,,,,,,,,,,,
6/5/17,Fishless,A. canadensis,,,0.144444444,,,,,,,,,,,,,
6/5/17,Railtracks,A. canadensis,,,0.144444444,,,,,,,,,,,,,
6/7/17,Elephant,A. canadensis,,,0.106666667,,,,,,,,,,,,,
6/7/17,Fishless,A. canadensis,,,0.106666667,,,,,,,,,,,,,
